Policy_ID,Latitude,Longitude,Line_of_Business,Construction_Type,Replacement_Cost_Value,HAZ_CLASS
POL-01000,39.20306569511634,-121.56244722568607,Residential,Masonry,132638,Low_or_Unzoned
POL-01001,33.85464436877813,-117.21929103899504,Commercial,Wood Frame,112007,Low_or_Unzoned
POL-01002,38.6353126697216,-119.87366730237866,Residential,Wood Frame,166657,Low_or_Unzoned
POL-01003,35.73573958252227,-117.3158047105209,Commercial,Wood Frame,1605957,Low_or_Unzoned
POL-01004,33.18126294405268,-115.23436749085039,Residential,Wood Frame,547416,Low_or_Unzoned
POL-01005,35.96364041787663,-121.04472531566236,Commercial,Masonry,806935,Low_or_Unzoned
POL-01006,41.658165367618174,-120.03966109602018,Commercial,Wood Frame,830007,Low_or_Unzoned
POL-01007,36.1499637733651,-120.45169873433747,Residential,Masonry,565206,Low_or_Unzoned
POL-01008,32.87046211946166,-114.8881298845996,Residential,Masonry,508985,Low_or_Unzoned
POL-01009,32.79408001373376,-116.49968905469748,Commercial,Wood Frame,1246214,Low_or_Unzoned
POL-01010,36.18587421949526,-119.19628666468793,Commercial,Wood Frame,607311,Low_or_Unzoned
POL-01011,39.68402933252668,-123.88850277638711,Commercial,Masonry,1654944,Low_or_Unzoned
POL-01012,36.85596858437796,-121.74611962094266,Commercial,Masonry,887943,Low_or_Unzoned
POL-01013,35.24782533374022,-119.92125995769722,Residential,Wood Frame,329642,Low_or_Unzoned
POL-01014,41.05079023865657,-122.85252244646574,Residential,Wood Frame,363048,Low_or_Unzoned
POL-01015,33.60332012190499,-114.55056617359755,Residential,Wood Frame,301953,Low_or_Unzoned
POL-01016,35.23985165927809,-119.09048162554876,Commercial,Wood Frame,1431220,Low_or_Unzoned
POL-01017,36.20007800157299,-118.59748008481036,Residential,Wood Frame,390803,Low_or_Unzoned
POL-01018,36.162363095000764,-118.69660915452182,Residential,Wood Frame,285278,Low_or_Unzoned
POL-01019,33.96437791019563,-118.93989704226419,Commercial,Wood Frame,697893,Low_or_Unzoned
POL-01020,37.7602591109011,-121.67695377772043,Commercial,Wood Frame,499951,Low_or_Unzoned
POL-01021,40.41967463840706,-124.15889073475327,Residential,Wood Frame,683960,Low_or_Unzoned
POL-01022,36.684192827968026,-118.24959316840743,Residential,Masonry,2450618,Low_or_Unzoned
POL-01023,35.37216586883919,-118.8384651616632,Residential,Wood Frame,1121812,Low_or_Unzoned
POL-01024,34.34892644869628,-119.41576203684976,Residential,Steel Frame,552168,Low_or_Unzoned
POL-01025,35.75325579892978,-118.70727633803216,Commercial,Wood Frame,175126,Low_or_Unzoned
POL-01026,35.067353075242444,-115.66849020853094,Residential,Masonry,362228,Low_or_Unzoned
POL-01027,37.798233849375414,-119.98139667626474,Commercial,Wood Frame,954398,High
POL-01028,36.71841561742093,-118.03799639215427,Commercial,Masonry,211751,Low_or_Unzoned
POL-01029,38.449226053500105,-120.23999854610005,Residential,Wood Frame,2995962,Low_or_Unzoned
POL-01030,36.31689860621608,-120.85347101979018,Residential,Wood Frame,546633,Low_or_Unzoned
POL-01031,41.94155969454713,-121.71510051372192,Residential,Steel Frame,561899,Low_or_Unzoned
POL-01032,37.90908493123169,-121.6855045325243,Residential,Wood Frame,317008,Low_or_Unzoned
POL-01033,36.25380856101103,-118.84972939458196,Residential,Steel Frame,804028,Low_or_Unzoned
POL-01034,34.663622492980494,-117.59152593235179,Commercial,Wood Frame,213971,Very High
POL-01035,40.009843045611404,-123.27082366369044,Residential,Wood Frame,3053851,Low_or_Unzoned
POL-01036,40.045001294219354,-123.16783530533752,Commercial,Wood Frame,1550179,Low_or_Unzoned
POL-01037,35.11979189838789,-118.27881846864774,Residential,Masonry,1187590,Low_or_Unzoned
POL-01038,40.70370146388818,-120.47210507627084,Residential,Wood Frame,177665,Low_or_Unzoned
POL-01039,38.09294946024754,-120.04409372643684,Commercial,Steel Frame,636876,Low_or_Unzoned
POL-01040,36.065634125236215,-116.99569106543046,Residential,Wood Frame,1421565,Low_or_Unzoned
POL-01041,35.21494377749577,-118.16017604849576,Residential,Masonry,868466,Low_or_Unzoned
POL-01042,39.737082818088126,-120.186427846542,Residential,Wood Frame,242392,Low_or_Unzoned
POL-01043,37.984150777714746,-120.5957137620526,Residential,Wood Frame,321233,High
POL-01044,40.72298288343325,-124.22869079168989,Commercial,Wood Frame,376416,Low_or_Unzoned
POL-01045,41.81702376404258,-122.17131533469777,Residential,Wood Frame,333450,Low_or_Unzoned
POL-01046,40.36142976000988,-122.38766006096677,Residential,Wood Frame,1835859,Low_or_Unzoned
POL-01047,39.76301404921982,-123.65933427344586,Residential,Wood Frame,116214,Low_or_Unzoned
POL-01048,37.948525038827945,-119.5182416116325,Commercial,Wood Frame,913222,High
POL-01049,41.582447864313366,-124.39532303528756,Residential,Wood Frame,192174,Low_or_Unzoned
POL-01050,33.5380099979414,-116.01992836958877,Residential,Wood Frame,250446,Low_or_Unzoned
POL-01051,41.300634763935825,-122.05453069418044,Residential,Wood Frame,108251,Low_or_Unzoned
POL-01052,32.68160289708276,-115.62403525526837,Residential,Wood Frame,348278,Low_or_Unzoned
POL-01053,39.36571609813317,-122.86522772356271,Residential,Steel Frame,1809543,Low_or_Unzoned
POL-01054,39.07905809960253,-122.13052187795343,Residential,Steel Frame,667877,Low_or_Unzoned
POL-01055,35.344258089530975,-116.17833243997596,Residential,Wood Frame,207173,Low_or_Unzoned
POL-01056,40.1421534729553,-123.80007178685528,Residential,Steel Frame,1219215,Low_or_Unzoned
POL-01057,39.50976042633454,-123.70817215207572,Residential,Masonry,1447058,Low_or_Unzoned
POL-01058,40.424373671506416,-121.87123333950602,Commercial,Wood Frame,587268,Low_or_Unzoned
POL-01059,33.85707772935797,-115.17314193662918,Commercial,Wood Frame,2751892,Low_or_Unzoned
POL-01060,38.756134898865525,-122.5207515456466,Residential,Steel Frame,1042624,Low_or_Unzoned
POL-01061,38.32923908525586,-121.67971120439672,Residential,Masonry,932964,Low_or_Unzoned
POL-01062,36.37165879480809,-119.22077386060985,Residential,Masonry,284161,Low_or_Unzoned
POL-01063,35.81379507271005,-120.99190115309109,Commercial,Masonry,892622,Low_or_Unzoned
POL-01064,41.503036246662475,-124.4107964246243,Residential,Wood Frame,642699,Low_or_Unzoned
POL-01065,33.18700651495042,-116.50943717902967,Commercial,Wood Frame,819019,Low_or_Unzoned
POL-01066,37.46447769369908,-120.65399294483151,Residential,Wood Frame,312491,High
POL-01067,33.23018971512355,-116.57320833225697,Residential,Wood Frame,598677,Low_or_Unzoned
POL-01068,40.04789767266211,-121.97840824176885,Commercial,Wood Frame,281112,Low_or_Unzoned
POL-01069,39.21732153403363,-121.10299155576111,Commercial,Wood Frame,96983,Low_or_Unzoned
POL-01070,34.70765106903245,-117.18136335369024,Commercial,Wood Frame,1200974,Low_or_Unzoned
POL-01071,35.16954273963278,-118.61878217840184,Residential,Wood Frame,162444,Low_or_Unzoned
POL-01072,40.133086061320405,-120.44214307455668,Residential,Wood Frame,588745,Low_or_Unzoned
POL-01073,41.32766650950261,-120.08737918102081,Residential,Wood Frame,705316,Low_or_Unzoned
POL-01074,36.34847559801188,-118.59783573245609,Residential,Wood Frame,701692,Low_or_Unzoned
POL-01075,41.10805452025872,-124.43842035718481,Residential,Wood Frame,430859,Low_or_Unzoned
POL-01076,38.2331844124121,-121.65782215483182,Residential,Masonry,671298,Low_or_Unzoned
POL-01077,35.899233799078715,-120.6098399108751,Residential,Steel Frame,787622,Low_or_Unzoned
POL-01078,33.66774644542118,-115.24205581879485,Residential,Wood Frame,972837,Low_or_Unzoned
POL-01079,38.435446696499326,-120.19181092033705,Commercial,Wood Frame,2162451,Low_or_Unzoned
POL-01080,40.13760582174894,-121.33254646287294,Commercial,Masonry,651710,Low_or_Unzoned
POL-01081,37.74875919037495,-120.46779972336793,Residential,Wood Frame,568774,High
POL-01082,33.857321632724414,-116.63551031724795,Residential,Masonry,261611,Low_or_Unzoned
POL-01083,39.86578842882979,-121.64068832959863,Residential,Wood Frame,765861,Low_or_Unzoned
POL-01084,37.21860651677049,-121.85401867273725,Commercial,Masonry,921636,Low_or_Unzoned
POL-01085,33.77136944849708,-118.39331720257756,Residential,Steel Frame,463312,Low_or_Unzoned
POL-01086,39.6121297241989,-120.65670320966159,Commercial,Masonry,835420,Low_or_Unzoned
POL-01087,35.51707455498061,-116.02537628664511,Commercial,Wood Frame,427618,Low_or_Unzoned
POL-01088,35.12361079929855,-118.8629789617225,Residential,Masonry,924301,Low_or_Unzoned
POL-01089,32.53628926525654,-116.47699634092177,Residential,Masonry,1121392,Low_or_Unzoned
POL-01090,39.53858853344468,-124.11842214267945,Commercial,Masonry,1108925,Low_or_Unzoned
POL-01091,33.46797768662713,-116.85081369460188,Residential,Wood Frame,593786,Low_or_Unzoned
POL-01092,35.47680521705886,-116.88258423127328,Residential,Masonry,235160,Low_or_Unzoned
POL-01093,39.99485848187207,-123.31107215577919,Commercial,Wood Frame,331197,Low_or_Unzoned
POL-01094,40.97278537570198,-120.23315274458665,Residential,Wood Frame,869893,Low_or_Unzoned
POL-01095,36.621265485977034,-119.4067344540017,Commercial,Wood Frame,3832584,Low_or_Unzoned
POL-01096,41.65874495665603,-122.69737895204622,Commercial,Wood Frame,411442,Low_or_Unzoned
POL-01097,33.348250482992945,-116.01776975582047,Commercial,Masonry,778146,Low_or_Unzoned
POL-01098,37.19123338434082,-118.66335645091092,Residential,Masonry,346333,Low_or_Unzoned
POL-01099,36.18266365182865,-117.154957360773,Residential,Wood Frame,247911,Low_or_Unzoned
POL-01100,38.51076284811171,-120.1738137410076,Residential,Masonry,314565,Low_or_Unzoned
POL-01101,39.186642370526144,-123.04682534733469,Commercial,Steel Frame,102132,Low_or_Unzoned
POL-01102,34.08605434309839,-118.99094077980097,Commercial,Wood Frame,1595580,Very High
POL-01103,38.83066142899296,-120.95101279920085,Residential,Wood Frame,90752,Low_or_Unzoned
POL-01104,41.53234072344771,-123.60327391494583,Residential,Wood Frame,437546,Low_or_Unzoned
POL-01105,35.33149598207471,-116.55826142519184,Residential,Wood Frame,210554,Low_or_Unzoned
POL-01106,33.50096676138314,-116.16158710181114,Commercial,Wood Frame,266331,Low_or_Unzoned
POL-01107,35.920479426059295,-120.1887136789982,Commercial,Wood Frame,1625324,Low_or_Unzoned
POL-01108,36.61092679218719,-117.30001592734085,Commercial,Wood Frame,634665,Low_or_Unzoned
POL-01109,36.013225931878175,-121.13349098122262,Commercial,Steel Frame,249617,Low_or_Unzoned
POL-01110,39.791892470920224,-121.98661671840851,Commercial,Masonry,337184,Low_or_Unzoned
POL-01111,36.45679210308685,-120.11133066585418,Commercial,Wood Frame,292908,Low_or_Unzoned
POL-01112,40.31070892475602,-121.86248395165309,Residential,Wood Frame,521864,Low_or_Unzoned
POL-01113,40.578306010639004,-121.13404034682677,Residential,Wood Frame,620520,Low_or_Unzoned
POL-01114,38.74485808061622,-121.39014396163051,Commercial,Wood Frame,2461939,Low_or_Unzoned
POL-01115,36.98667713954833,-118.49101994730898,Residential,Wood Frame,116653,Low_or_Unzoned
POL-01116,35.30536403693241,-116.55371315952483,Residential,Wood Frame,525523,Low_or_Unzoned
POL-01117,39.516675852257144,-122.90420808402246,Residential,Wood Frame,419805,Low_or_Unzoned
POL-01118,38.62590973821198,-120.87091611112034,Residential,Wood Frame,1152263,Low_or_Unzoned
POL-01119,39.275465391184866,-121.91334340395584,Residential,Wood Frame,717734,Low_or_Unzoned
POL-01120,40.957042525043654,-123.11704988033327,Residential,Masonry,866562,Low_or_Unzoned
POL-01121,35.230391166423004,-115.48317783043942,Residential,Wood Frame,712167,Low_or_Unzoned
POL-01122,35.993966883683456,-117.84527551015348,Residential,Wood Frame,256377,Low_or_Unzoned
POL-01123,37.40068807576712,-118.96041396453381,Residential,Wood Frame,1424045,Low_or_Unzoned
POL-01124,35.042130428915726,-117.61792222637305,Commercial,Steel Frame,1023566,Low_or_Unzoned
POL-01125,40.43706214455085,-122.05153067857303,Residential,Masonry,1124021,Low_or_Unzoned
POL-01126,32.63958719222206,-115.42376863445882,Residential,Wood Frame,1485467,Low_or_Unzoned
POL-01127,36.10139346238339,-121.25163009815986,Residential,Steel Frame,754748,Low_or_Unzoned
POL-01128,35.70478269430638,-117.21161763324952,Residential,Wood Frame,1767000,Low_or_Unzoned
POL-01129,36.42960541172704,-120.80704691143251,Residential,Steel Frame,730958,Low_or_Unzoned
POL-01130,37.182213552250744,-118.79341349987834,Commercial,Wood Frame,453501,Low_or_Unzoned
POL-01131,38.15375091160397,-122.21330158144053,Commercial,Wood Frame,537517,Low_or_Unzoned
POL-01132,35.46270665021039,-120.76693712990392,Residential,Masonry,530155,Low_or_Unzoned
POL-01133,39.842754077823095,-121.40563561620196,Residential,Wood Frame,356641,Low_or_Unzoned
POL-01134,37.452312452714324,-118.50226436360907,Residential,Masonry,1993716,Low_or_Unzoned
POL-01135,33.641968676645476,-114.73582148697052,Commercial,Wood Frame,684905,Low_or_Unzoned
POL-01136,35.02303691310676,-118.77662416497115,Commercial,Masonry,582911,Low_or_Unzoned
POL-01137,39.84484780222738,-123.4652580601641,Residential,Wood Frame,737203,Low_or_Unzoned
POL-01138,37.4206250132695,-122.06317493240526,Residential,Wood Frame,5861309,Low_or_Unzoned
POL-01139,35.80690813509874,-117.05654993435839,Commercial,Steel Frame,218517,Low_or_Unzoned
POL-01140,32.51285944429695,-115.50119520252893,Commercial,Masonry,274846,Low_or_Unzoned
POL-01141,35.34810501186974,-120.14137464302321,Residential,Steel Frame,179071,Low_or_Unzoned
POL-01142,40.547077856347045,-122.07728680282594,Commercial,Masonry,448615,Low_or_Unzoned
POL-01143,39.94038492633695,-123.70696559672818,Residential,Masonry,657641,Low_or_Unzoned
POL-01144,36.85095971053393,-120.00947459884623,Residential,Wood Frame,372406,High
POL-01145,36.28105028306778,-118.24132872344376,Commercial,Wood Frame,350886,Low_or_Unzoned
POL-01146,33.049522269748024,-114.69872139487656,Residential,Wood Frame,605569,Low_or_Unzoned
POL-01147,41.59900310938794,-120.8817357448668,Commercial,Wood Frame,361607,Low_or_Unzoned
POL-01148,41.455881031394064,-122.80966346728256,Residential,Masonry,692553,Low_or_Unzoned
POL-01149,41.64629932740546,-121.99968914583302,Residential,Wood Frame,1317685,Low_or_Unzoned
POL-01150,33.218247885859135,-114.64629977569072,Residential,Steel Frame,928777,Low_or_Unzoned
POL-01151,34.36041429927557,-118.51303423410205,Residential,Wood Frame,1093408,Very High
POL-01152,33.83762801448042,-115.45063985540429,Residential,Masonry,1288172,Low_or_Unzoned
POL-01153,38.41292959487697,-119.49034691421377,Commercial,Wood Frame,677566,Low_or_Unzoned
POL-01154,38.54156971805542,-120.217110513808,Residential,Wood Frame,475959,Low_or_Unzoned
POL-01155,41.216115509753905,-124.48500239766865,Commercial,Steel Frame,291325,Low_or_Unzoned
POL-01156,35.2597928038785,-119.77937479433724,Residential,Wood Frame,395164,Low_or_Unzoned
POL-01157,38.49375700717705,-122.77733232321398,Commercial,Wood Frame,355418,Low_or_Unzoned
POL-01158,36.75289754139897,-121.50554074189449,Residential,Wood Frame,970277,Low_or_Unzoned
POL-01159,33.77561108357162,-116.17517952462796,Residential,Wood Frame,713135,Low_or_Unzoned
POL-01160,38.956393160983524,-121.05332156258797,Residential,Wood Frame,943551,Low_or_Unzoned
POL-01161,35.10968624295497,-115.36473828203826,Residential,Masonry,213572,Low_or_Unzoned
POL-01162,37.6924828493068,-119.98677179611347,Residential,Wood Frame,1698743,High
POL-01163,36.61175202098996,-121.4837942037908,Residential,Wood Frame,384006,Low_or_Unzoned
POL-01164,32.91704945510855,-116.76365702854294,Commercial,Wood Frame,224131,Low_or_Unzoned
POL-01165,40.03485730296902,-121.18267386495081,Commercial,Masonry,380265,Low_or_Unzoned
POL-01166,34.79878273801193,-115.31515572836577,Commercial,Masonry,3941266,Low_or_Unzoned
POL-01167,34.37079419230757,-116.04651954360497,Residential,Wood Frame,396260,Low_or_Unzoned
POL-01168,41.82086545202231,-121.3132089539465,Commercial,Wood Frame,416617,Low_or_Unzoned
POL-01169,37.91062790588749,-120.31597299785325,Commercial,Wood Frame,463386,High
POL-01170,36.6514609138234,-119.59243297779679,Residential,Masonry,479789,High
POL-01171,38.138828886098466,-121.50141402949431,Residential,Masonry,289184,Low_or_Unzoned
POL-01172,38.41226101386384,-121.21513140594048,Residential,Steel Frame,605960,Low_or_Unzoned
POL-01173,41.8211894492418,-123.47053234983514,Residential,Wood Frame,1277577,Low_or_Unzoned
POL-01174,34.30602267294541,-118.96841975647067,Residential,Wood Frame,694836,Very High
POL-01175,40.02965360473964,-123.90045967632565,Residential,Wood Frame,222141,Low_or_Unzoned
POL-01176,41.12503854090639,-123.33929675375991,Commercial,Wood Frame,410250,Low_or_Unzoned
POL-01177,41.4651651317921,-122.19641141343942,Residential,Wood Frame,347589,Low_or_Unzoned
POL-01178,37.453866567853986,-119.95086521075521,Residential,Wood Frame,563741,High
POL-01179,37.030551011445716,-120.99610582045588,Commercial,Masonry,1566510,High
POL-01180,39.32414616603404,-121.17707776735426,Commercial,Wood Frame,479689,Low_or_Unzoned
POL-01181,34.84973300028129,-116.3730515834129,Commercial,Masonry,503569,Low_or_Unzoned
POL-01182,34.04564756618137,-116.1467838847702,Residential,Wood Frame,2240289,Low_or_Unzoned
POL-01183,37.86831046830118,-119.48996305211499,Residential,Steel Frame,1089211,Low_or_Unzoned
POL-01184,39.83045565429677,-123.12574804518745,Residential,Steel Frame,855349,Low_or_Unzoned
POL-01185,37.23950881309145,-122.02655768675774,Residential,Steel Frame,2588283,Low_or_Unzoned
POL-01186,32.61497960937302,-114.70870849247748,Residential,Masonry,799585,Low_or_Unzoned
POL-01187,32.58586545625327,-115.47521875593857,Residential,Masonry,110280,Low_or_Unzoned
POL-01188,35.89177876771512,-117.04725697264828,Commercial,Wood Frame,1051925,Low_or_Unzoned
POL-01189,34.672429406234286,-119.03660192499045,Residential,Wood Frame,151205,Low_or_Unzoned
POL-01190,39.424183701564495,-122.42895200524633,Residential,Masonry,775764,Low_or_Unzoned
POL-01191,36.57266919937112,-117.40102314127195,Residential,Masonry,137173,Low_or_Unzoned
POL-01192,41.23554473423248,-122.85644325913472,Commercial,Steel Frame,371950,Low_or_Unzoned
POL-01193,41.93592264651816,-120.6503041489872,Residential,Wood Frame,403920,Low_or_Unzoned
POL-01194,39.72957527320622,-122.82635370990027,Residential,Wood Frame,291823,Low_or_Unzoned
POL-01195,39.66551724679672,-122.74702312013807,Residential,Masonry,408774,Low_or_Unzoned
POL-01196,41.22505110538138,-123.22786765675966,Residential,Steel Frame,1234342,Low_or_Unzoned
POL-01197,41.53382164777421,-123.60321093051321,Residential,Wood Frame,305235,Low_or_Unzoned
POL-01198,39.9817163156584,-120.12900825028427,Residential,Wood Frame,835773,Low_or_Unzoned
POL-01199,34.88451314099185,-119.78706066065396,Residential,Wood Frame,249566,Low_or_Unzoned
POL-01200,38.73799520022482,-122.11903451729458,Commercial,Wood Frame,464353,Low_or_Unzoned
POL-01201,34.32013298448084,-114.96169387368002,Residential,Wood Frame,700165,Low_or_Unzoned
POL-01202,37.30660012348185,-121.06642893079093,Commercial,Wood Frame,243476,Low_or_Unzoned
POL-01203,34.59810143814858,-117.90643327889947,Residential,Masonry,189212,Very High
POL-01204,32.84217877376855,-114.94933970193534,Residential,Wood Frame,800908,Low_or_Unzoned
POL-01205,34.16460683500536,-117.84416065075936,Residential,Wood Frame,1327043,Very High
POL-01206,40.734318367807006,-123.74497946817732,Residential,Masonry,507244,Low_or_Unzoned
POL-01207,36.647834802803274,-118.9102175339562,Residential,Steel Frame,374800,Low_or_Unzoned
POL-01208,38.01084392935982,-121.31467503675121,Residential,Steel Frame,612032,Low_or_Unzoned
POL-01209,37.40863465964954,-120.37518969694527,Commercial,Wood Frame,564888,High
POL-01210,39.70837441069459,-122.6136622114689,Commercial,Steel Frame,656266,Low_or_Unzoned
POL-01211,35.18371262674209,-118.43024292886967,Commercial,Wood Frame,71496,Low_or_Unzoned
POL-01212,41.49133687492885,-123.62939689535794,Residential,Masonry,229742,Low_or_Unzoned
POL-01213,36.48475594259448,-120.9276585582618,Residential,Masonry,274804,Low_or_Unzoned
POL-01214,37.02518946636044,-119.93587944267706,Residential,Wood Frame,609682,High
POL-01215,35.64986464113834,-116.44404936132815,Residential,Wood Frame,627000,Low_or_Unzoned
POL-01216,40.62278691538938,-122.33818323695071,Residential,Wood Frame,898915,Low_or_Unzoned
POL-01217,33.155572129821756,-114.59644357821877,Residential,Masonry,664018,Low_or_Unzoned
POL-01218,36.38941468226167,-120.73870006694773,Commercial,Wood Frame,190882,Low_or_Unzoned
POL-01219,40.20334651957523,-122.93130642123539,Residential,Masonry,1719602,Low_or_Unzoned
POL-01220,35.655814814598244,-119.663883217706,Residential,Wood Frame,1494847,Low_or_Unzoned
POL-01221,38.71918152522657,-120.47254239442343,Residential,Wood Frame,197489,Low_or_Unzoned
POL-01222,36.539667761658094,-121.13937457607238,Residential,Steel Frame,705148,Low_or_Unzoned
POL-01223,39.77269412990068,-122.40449803309264,Commercial,Masonry,335595,Low_or_Unzoned
POL-01224,36.45737537058177,-117.74461788676751,Residential,Steel Frame,603856,Low_or_Unzoned
POL-01225,37.46384672031309,-121.74364194992675,Commercial,Wood Frame,1255002,Low_or_Unzoned
POL-01226,41.74424254823716,-122.07471723945534,Residential,Wood Frame,2970032,Low_or_Unzoned
POL-01227,34.64819064687188,-116.07990349522068,Residential,Wood Frame,985616,Low_or_Unzoned
POL-01228,35.38745386642276,-119.42780442547033,Commercial,Wood Frame,684160,Low_or_Unzoned
POL-01229,34.688958290114826,-120.1312579607088,Residential,Wood Frame,411738,Low_or_Unzoned
POL-01230,39.42877554383597,-122.39407107432527,Residential,Masonry,625125,Low_or_Unzoned
POL-01231,41.68503224809321,-122.23872753002661,Residential,Wood Frame,1603689,Low_or_Unzoned
POL-01232,38.79894832213251,-122.68604815804858,Residential,Wood Frame,521379,Low_or_Unzoned
POL-01233,39.54801510610779,-120.51666121885604,Commercial,Wood Frame,265962,Low_or_Unzoned
POL-01234,36.514977371629286,-118.03884767339997,Commercial,Wood Frame,147893,Low_or_Unzoned
POL-01235,35.377843603584076,-120.17456123957123,Commercial,Masonry,814588,Low_or_Unzoned
POL-01236,40.259404931803545,-122.29210013203046,Residential,Wood Frame,658572,Low_or_Unzoned
POL-01237,34.225332693687726,-118.55816964643154,Residential,Wood Frame,322311,Very High
POL-01238,36.02393957749877,-118.03669745647161,Residential,Wood Frame,1227894,Low_or_Unzoned
POL-01239,41.06843186911692,-124.08464618109257,Commercial,Steel Frame,385608,Low_or_Unzoned
POL-01240,40.163588437100024,-120.2680930419751,Commercial,Steel Frame,485184,Low_or_Unzoned
POL-01241,36.235354409765264,-117.79953102357918,Residential,Masonry,533208,Low_or_Unzoned
POL-01242,38.11105942294906,-121.13408614421029,Residential,Wood Frame,408087,Low_or_Unzoned
POL-01243,39.91600131554279,-121.16877866925289,Residential,Wood Frame,652581,Low_or_Unzoned
POL-01244,35.02059830677693,-115.97433870489658,Residential,Masonry,1357577,Low_or_Unzoned
POL-01245,35.31731916595634,-117.43341425396889,Residential,Steel Frame,216644,Low_or_Unzoned
POL-01246,33.473901658631505,-116.48540342402855,Residential,Steel Frame,798760,Low_or_Unzoned
POL-01247,37.33446027811503,-122.09895711046167,Residential,Masonry,620156,Low_or_Unzoned
POL-01248,41.36278619441188,-124.28872192054273,Commercial,Wood Frame,611097,Low_or_Unzoned
POL-01249,39.098656558906214,-120.72183854331605,Commercial,Steel Frame,1085417,Low_or_Unzoned
POL-01250,35.103680098750814,-117.12238944740189,Commercial,Masonry,562101,Low_or_Unzoned
POL-01251,34.354785728086675,-118.92093049101561,Residential,Masonry,793479,Very High
POL-01252,35.780748546326436,-120.30294471476851,Residential,Wood Frame,958084,Low_or_Unzoned
POL-01253,40.637103625605306,-121.36942125909617,Residential,Wood Frame,360954,Low_or_Unzoned
POL-01254,39.161113685107466,-123.1721254232625,Residential,Wood Frame,686489,Low_or_Unzoned
POL-01255,37.839691546824426,-120.6970931706614,Residential,Wood Frame,442134,High
POL-01256,37.214458152382434,-119.55642759665807,Commercial,Wood Frame,485946,High
POL-01257,34.04883570085011,-118.18229060948512,Residential,Masonry,417629,Very High
POL-01258,39.96895369648005,-123.86282777601784,Commercial,Wood Frame,787693,Low_or_Unzoned
POL-01259,39.47721735471812,-120.15990417135248,Commercial,Wood Frame,576837,Low_or_Unzoned
POL-01260,36.15137286597928,-118.76054313353146,Commercial,Wood Frame,740910,Low_or_Unzoned
POL-01261,32.6084708428137,-115.80678797727421,Commercial,Wood Frame,532845,Low_or_Unzoned
POL-01262,41.71744254239754,-124.09246404797608,Residential,Steel Frame,149747,Low_or_Unzoned
POL-01263,34.73224734746155,-118.86562115273037,Commercial,Wood Frame,554096,Very High
POL-01264,41.68683511493339,-121.31631396552342,Residential,Wood Frame,568541,Low_or_Unzoned
POL-01265,37.295558183893014,-119.55758755318266,Commercial,Steel Frame,656105,High
POL-01266,39.32531249956423,-122.84759837482594,Residential,Masonry,336050,Low_or_Unzoned
POL-01267,40.6950844759172,-124.17378463243321,Residential,Wood Frame,207653,Low_or_Unzoned
POL-01268,34.202928313124005,-114.55751955566457,Residential,Masonry,890630,Low_or_Unzoned
POL-01269,40.100033076754976,-121.97251785053318,Residential,Masonry,434136,Low_or_Unzoned
POL-01270,37.75071721932618,-121.98053651090187,Residential,Masonry,619702,Low_or_Unzoned
POL-01271,33.75129277150139,-114.75066860459033,Residential,Wood Frame,431417,Low_or_Unzoned
POL-01272,33.9940954777073,-117.49611300018378,Commercial,Steel Frame,537750,Low_or_Unzoned
POL-01273,40.068473273318034,-122.53888845357314,Residential,Wood Frame,377215,Low_or_Unzoned
POL-01274,34.87944503852874,-115.77191904655561,Residential,Wood Frame,249080,Low_or_Unzoned
POL-01275,37.931586839865616,-120.81825173969996,Residential,Wood Frame,789365,High
POL-01276,40.411888579488576,-120.54348840837076,Residential,Wood Frame,333535,Low_or_Unzoned
POL-01277,38.90318923105853,-121.96693447160071,Residential,Steel Frame,616097,Low_or_Unzoned
POL-01278,37.71415731823488,-121.86992905912749,Commercial,Wood Frame,750404,Low_or_Unzoned
POL-01279,35.232510925914944,-116.03798865339887,Residential,Wood Frame,337915,Low_or_Unzoned
POL-01280,39.460640980607664,-121.96582810970625,Residential,Wood Frame,206259,Low_or_Unzoned
POL-01281,35.21470408363071,-118.71774928070465,Residential,Wood Frame,3763532,Low_or_Unzoned
POL-01282,35.65833349291277,-116.17704399410802,Residential,Steel Frame,354258,Low_or_Unzoned
POL-01283,36.05224994662173,-119.31991332545,Residential,Wood Frame,889783,Low_or_Unzoned
POL-01284,41.472261535595884,-124.0792745933432,Commercial,Masonry,2549915,Low_or_Unzoned
POL-01285,38.87905191233847,-120.47344821296205,Residential,Masonry,1016551,Low_or_Unzoned
POL-01286,38.50668045955758,-122.9016037538729,Residential,Masonry,424915,Low_or_Unzoned
POL-01287,34.39042532011465,-117.4995570183372,Residential,Masonry,512116,Low_or_Unzoned
POL-01288,36.47417170897166,-121.51497296449767,Residential,Wood Frame,277593,Low_or_Unzoned
POL-01289,33.46304252675501,-118.3389369676318,Commercial,Masonry,1094006,Low_or_Unzoned
POL-01290,35.13960137285227,-119.81983688051987,Residential,Masonry,850021,Low_or_Unzoned
POL-01291,35.12503153042561,-115.72075453677705,Residential,Masonry,358061,Low_or_Unzoned
POL-01292,36.604179812147805,-121.71784585366785,Commercial,Steel Frame,234746,Low_or_Unzoned
POL-01293,34.203964479115996,-116.2682955696913,Residential,Masonry,187777,Low_or_Unzoned
POL-01294,41.72142718139257,-120.3545235297783,Commercial,Masonry,1189699,Low_or_Unzoned
